id	role_id	menu_id
1	2	1
2	2	2
3	2	3
4	2	9
5	3	1
6	3	3
7	3	2
8	2	11
9	2	14
10	2	16
11	2	17
12	2	21
13	3	16
14	3	17
15	4	19
16	4	22
17	4	23
18	2	24
19	2	25
20	3	21
21	2	26
23	2	28
24	2	29
25	2	30
26	2	31
27	2	32
28	2	34
29	2	33
30	3	28
31	3	29
32	3	30
33	3	31
34	3	32
35	3	34
36	3	33
37	2	35
38	3	14
39	3	24
40	3	25
41	3	35
43	2	38
44	2	39
45	2	40
46	2	41
47	2	42
48	2	43
50	2	45
52	2	52
53	2	47
54	2	50
55	2	51
56	2	48
58	2	53
59	3	53
61	2	54
62	7	56
63	2	55
76	2	66
77	2	65
78	2	67
79	7	68
83	2	72
84	2	74
86	2	63
87	2	58
88	2	61
89	2	62
90	2	60
91	2	59
92	2	75
93	2	62
94	2	63
95	2	76
96	2	69
104	2	44
106	2	49
107	2	78
108	2	79
109	5	80
110	2	81
